Sender,Total,align_raw,align_pct,bash_raw,bash_pct
Kay Hutchison,2,2,1.0,0,0.0
Frank Lucas,37,21,0.5676,9,0.2432
John Shimkus,99,70,0.7071,8,0.0808
Mike Pence,24,22,0.9167,1,0.0417
John Boozman,44,20,0.4545,10,0.2273
Bradley Schneider,29,28,0.9655,0,0.0
Mark Kirk,111,103,0.9279,1,0.009
Vance McAllister,4,4,1.0,0,0.0
David Rivera,51,24,0.4706,5,0.098
Ted Lieu,8,8,1.0,0,0.0
Betsy Markey,3,3,1.0,0,0.0
Herbert Kohl,87,83,0.954,0,0.0
Peter Welch,79,69,0.8734,2,0.0253
Spencer Bachus,53,41,0.7736,3,0.0566
Tom Udall,51,51,1.0,0,0.0
Terri Sewell,81,81,1.0,0,0.0
Mitch McConnell,94,52,0.5532,21,0.2234
Todd Platts,22,15,0.6818,1,0.0455
Michael Bennet,72,68,0.9444,0,0.0
Joyce Beatty,7,7,1.0,0,0.0
Jane Harman,6,5,0.8333,0,0.0
Scott Peters,38,37,0.9737,0,0.0
Angus King,41,36,0.878,1,0.0244
Judy Chu,17,17,1.0,0,0.0
Pete Gallego,59,59,1.0,0,0.0
Melvin Watt,11,10,0.9091,0,0.0
Patrick Kennedy,19,17,0.8947,0,0.0
Elizabeth Esty,74,67,0.9054,3,0.0405
Donald Payne,9,7,0.7778,0,0.0
Harold Rogers,84,67,0.7976,4,0.0476
Rodney Frelinghuysen,317,155,0.489,79,0.2492
Bob Inglis,7,6,0.8571,1,0.1429
Edolphus Towns,3,3,1.0,0,0.0
Bob Filner,13,12,0.9231,0,0.0
Richard Blumenthal,22,20,0.9091,0,0.0
Mark Begich,43,34,0.7907,2,0.0465
John Garamendi,47,47,1.0,0,0.0
Joe Baca,157,147,0.9363,2,0.0127
Martha Roby,196,122,0.6224,27,0.1378
Fortney Stark,53,44,0.8302,1,0.0189
Shelley Capito,298,264,0.8859,5,0.0168
Charles Dent,38,34,0.8947,3,0.0789
Christopher Carney,60,59,0.9833,0,0.0
Mike Pompeo,117,91,0.7778,6,0.0513
Edward Rigell,113,113,1.0,0,0.0
Christopher Murphy,44,44,1.0,0,0.0
Stephen Lynch,8,7,0.875,0,0.0
Joseph Heck,119,119,1.0,0,0.0
Adrian Smith,143,98,0.6853,18,0.1259
Mark Takano,62,59,0.9516,0,0.0
Tom McClintock,97,90,0.9278,2,0.0206
John Katko,1,1,1.0,0,0.0
Brian Babin,11,9,0.8182,1,0.0909
Robert Schilling,60,51,0.85,2,0.0333
Kathleen Dahlkemper,19,19,1.0,0,0.0
Walter Jones,49,29,0.5918,8,0.1633
Leonard Boswell,64,59,0.9219,0,0.0
Rick Larsen,51,49,0.9608,1,0.0196
Chris Coons,15,14,0.9333,0,0.0
Robert Wexler,3,2,0.6667,0,0.0
Henry Cuellar,219,213,0.9726,2,0.0091
Maxine Waters,19,18,0.9474,1,0.0526
Bill Johnson,62,31,0.5,19,0.3065
David Loebsack,82,81,0.9878,0,0.0
Henry Johnson,145,117,0.8069,8,0.0552
Lindsey Graham,7,5,0.7143,0,0.0
Austin Scott,144,124,0.8611,3,0.0208
Carol Shea-Porter,35,28,0.8,5,0.1429
Brad Sherman,10,10,1.0,0,0.0
Blanche Lincoln,60,59,0.9833,1,0.0167
Ron Wyden,14,14,1.0,0,0.0
Mike Johanns,36,36,1.0,0,0.0
Rodney Alexander,120,100,0.8333,4,0.0333
Ralph Abraham,5,5,1.0,0,0.0
Carolyn McCarthy,100,92,0.92,1,0.01
Mark Warner,59,59,1.0,0,0.0
Bill Pascrell,21,18,0.8571,0,0.0
Richard Neal,16,12,0.75,0,0.0
Don Young,32,23,0.7188,3,0.0938
Timothy Kaine,18,17,0.9444,0,0.0
Scott Garrett,151,118,0.7815,4,0.0265
Betty Sutton,1,1,1.0,0,0.0
Allyson Schwartz,110,107,0.9727,1,0.0091
John Adler,8,8,1.0,0,0.0
Ben Nelson,77,75,0.974,1,0.013
Elijah Cummings,13,11,0.8462,0,0.0
Bill Nelson,104,102,0.9808,1,0.0096
Virginia Brown-Waite,3,3,1.0,0,0.0
John Isakson,70,41,0.5857,8,0.1143
Joseph Pitts,258,180,0.6977,17,0.0659
Norma Torres,5,5,1.0,0,0.0
Leonard Lance,249,199,0.7992,14,0.0562
Tom Marino,49,38,0.7755,5,0.102
Rand Paul,197,125,0.6345,34,0.1726
Jo Bonner,170,170,1.0,0,0.0
Tim Scott,161,139,0.8634,5,0.0311
Buddy Carter,31,15,0.4839,5,0.1613
Marco Rubio,196,177,0.9031,5,0.0255
Steve Stockman,125,86,0.688,14,0.112
Jeff Miller,340,274,0.8059,14,0.0412
Joseph Crowley,22,22,1.0,0,0.0
Lucille Roybal-Allard,71,66,0.9296,1,0.0141
Kevin Yoder,263,226,0.8593,9,0.0342
Barbara Comstock,5,5,1.0,0,0.0
John Ratcliffe,21,18,0.8571,2,0.0952
Donald Beyer,2,2,1.0,0,0.0
Larry Bucshon,36,25,0.6944,2,0.0556
Doc Hastings,26,20,0.7692,2,0.0769
Allen West,154,128,0.8312,8,0.0519
Jay Inslee,26,25,0.9615,0,0.0
Pete Sessions,182,123,0.6758,21,0.1154
Chris Van Hollen,34,33,0.9706,0,0.0
Gregg Harper,158,128,0.8101,12,0.0759
Jim McDermott,28,24,0.8571,1,0.0357
Barney Frank,1,1,1.0,0,0.0
Peter DeFazio,4,4,1.0,0,0.0
John Mica,96,88,0.9167,1,0.0104
Michael Castle,15,14,0.9333,0,0.0
Scott Perry,138,132,0.9565,4,0.029
Bill Cassidy,126,91,0.7222,9,0.0714
Denny Heck,23,20,0.8696,1,0.0435
Randy Weber,37,35,0.9459,0,0.0
Frank Guinta,120,102,0.85,2,0.0167
Bill Foster,36,35,0.9722,0,0.0
Bill Shuster,36,26,0.7222,3,0.0833
David Joyce,41,33,0.8049,1,0.0244
Tim Murphy,384,321,0.8359,14,0.0365
Dan Benishek,100,92,0.92,1,0.01
Frederica Wilson,26,23,0.8846,1,0.0385
Paul Cook,99,83,0.8384,3,0.0303
Debbie Stabenow,86,70,0.814,7,0.0814
Robert Wittman,148,143,0.9662,2,0.0135
Steve Daines,39,34,0.8718,4,0.1026
Bob Etheridge,18,17,0.9444,1,0.0556
Thomas Carper,120,119,0.9917,0,0.0
Steve Stivers,54,54,1.0,0,0.0
Peter Hoekstra,59,47,0.7966,4,0.0678
Dan Burton,25,20,0.8,3,0.12
Christopher Lee,30,28,0.9333,0,0.0
Christopher Smith,5,5,1.0,0,0.0
Melissa Bean,10,10,1.0,0,0.0
Gregory Meeks,28,24,0.8571,1,0.0357
Mark Pocan,12,12,1.0,0,0.0
Raul Ruiz,18,18,1.0,0,0.0
Patrick Meehan,92,83,0.9022,1,0.0109
Robert Casey,69,59,0.8551,2,0.029
John Spratt,23,22,0.9565,1,0.0435
Greg Walden,85,69,0.8118,9,0.1059
Mimi Walters,7,5,0.7143,0,0.0
Reid Ribble,93,85,0.914,2,0.0215
Ann Kirkpatrick,46,42,0.913,1,0.0217
